law_id,type,title,kana,effective_date
205M10000200030,府省令,大正五年農商務省令第三十号（農商省主管歳入証券納付ニ関スル件）,たいしょうごねんのうしょうむしょうれいだいさんじゅうごうのうしょうしょうしゅかんさいにゅうしょうけんのうふにかんするけん,昭和十八年十一月十五日
206M10000020002,府省令,大正六年外務省令第二号（外務省主管歳入証券納付ニ関スル件）,がいむしょうしゅかんさいにゅうしょうけんのうふにかんするけん,大正六年一月二十七日
210AC0000000057,法律,公有水面埋立法,こうゆうすいめんうめたてほう,令和八年五月二十五日
210AC0000000076,法律,軌道法,きどうほう,令和四年四月一日
210AC0000000102,法律,大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）,ていねんによるたいしょくはんじけんさつかんのおんきゅうにかんするほうりつ,令和五年四月一日
210IO0000000272,勅令,大正十年勅令第二百七十二号（第一回国勢調査記念章制定ノ件）,だいいっかいこくせいちょうさきねんしょうせいていのけん,大正十年六月十七日
211AC0000000070,法律,健康保険法,けんこうほけんほう,令和十年十二月十一日
211AC1000000020,法律,二十歳未満ノ者ノ飲酒ノ禁止ニ関スル法律,にじっさいみまんのもののいんしゅのきんしにかんするほうりつ,令和四年四月一日
211IO0000000194,勅令,公有水面埋立法施行令,こうゆうすいめんうめたてほうしこうれい,平成二十七年四月一日
211M10000010045,府省令,大正十一年司法省令第四十五号（信託表示簿及日附アル印章調製方）,しんたくひょうじぼおよびひづけあるいんしょうちょうせいかた,昭和二十四年六月一日
211M10000040005,府省令,保管金取扱規程,ほかんきんとりあつかいきてい,令和三年七月十九日
211M10000040007,府省令,政府所有有価証券取扱規程,せいふしょゆうゆうかしょうけんとりあつかいきてい,令和三年一月一日
211M10000040008,府省令,政府保管有価証券取扱規程,せいふほかんゆうかしょうけんとりあつかいきてい,令和三年一月一日
211M10000040009,府省令,供託有価証券取扱規程,きょうたくゆうかしょうけんとりあつかいきてい,昭和四十八年一月十九日
211M10000040011,府省令,日本銀行政府有価証券取扱規程,にほんぎんこうせいふゆうかしょうけんとりあつかいきてい,令和三年一月一日
